E(MeV)	pendfb7/Kr83:1
1.81582E-08	247.740458
1.87028E-08	244.277594
1.87818E-08	243.7974
1.92635E-08	240.867099
1.97575E-08	237.991524
1.98412E-08	237.504115
2.04360E-08	234.192346
2.06092E-08	233.269309
2.10490E-08	230.926343
2.13170E-08	229.559951
2.16799E-08	227.709682
2.20491E-08	225.909198
2.23302E-08	224.537778
2.26146E-08	223.210737
2.29996E-08	221.413747
2.31946E-08	220.543104
2.36894E-08	218.333121
2.37894E-08	217.905907
2.43996E-08	215.298919
2.52375E-08	211.88708
2.52687E-08	211.759796
2.53000E-08	211.635949
2.59489E-08	209.124122
2.60589E-08	208.698368
2.66144E-08	206.640672
2.68400E-08	205.805005
2.75284E-08	203.365267
2.76450E-08	202.95173
2.84737E-08	200.141352
2.93278E-08	197.369873
2.94516E-08	196.985514
3.02069E-08	194.640035
3.07212E-08	193.111921
3.11130E-08	191.947963
3.20456E-08	189.296325
3.25912E-08	187.811981
3.30068E-08	186.681363
3.31461E-08	186.318707
3.39962E-08	184.106619
3.50159E-08	181.567683
3.60655E-08	179.066919
3.71473E-08	176.600782
3.82608E-08	174.171719
3.94084E-08	171.776285
4.05898E-08	169.416852
4.18072E-08	167.090061
4.30604E-08	164.798195
4.43520E-08	162.537965
4.52975E-08	160.954598
4.56815E-08	160.311836
4.70517E-08	158.117013
4.84621E-08	155.954953
4.99157E-08	153.822542
5.14120E-08	151.721863
5.29541E-08	149.649919
5.45414E-08	147.608768
5.61773E-08	145.595524
5.78613E-08	143.612204
5.95968E-08	141.656006
6.13833E-08	139.728883
6.32245E-08	137.828102
6.51197E-08	135.955545
6.53957E-08	135.694546
6.70729E-08	134.109227
6.90835E-08	132.290428
7.11556E-08	130.496445
7.32886E-08	128.729052
7.54868E-08	126.985734
7.77496E-08	125.268222
8.00817E-08	123.574086
8.24822E-08	121.905026
8.49562E-08	120.258693
8.75029E-08	118.636729
9.01274E-08	117.036819
9.28291E-08	115.460498
9.56135E-08	113.905444
9.84796E-08	112.373106
1.01433E-07	110.861234
1.01862E-07	110.651452
1.04474E-07	109.371855
1.07608E-07	107.902424
1.10833E-07	106.454349
1.14158E-07	105.025613
1.17580E-07	103.617665
1.21106E-07	102.228517
1.24737E-07	100.859549
1.28478E-07	99.5088131
1.32329E-07	98.1776431
1.36298E-07	96.8641412
1.40384E-07	95.5696038
1.44595E-07	94.292186
1.48929E-07	93.0331483
1.53396E-07	91.7906979
1.57995E-07	90.5660653
1.62733E-07	89.3575196
1.67612E-07	88.1662868
1.72639E-07	86.9907272
1.74102E-07	86.6630654
1.77814E-07	85.8324586
1.83147E-07	84.6896112
1.88637E-07	83.563058
1.94296E-07	82.4510243
2.00120E-07	81.3544807
2.06122E-07	80.2718579
2.12301E-07	79.2043067
2.18669E-07	78.1503956
2.25224E-07	77.111217
2.31979E-07	76.0853107
2.38933E-07	75.0736955
2.46100E-07	74.074932
2.53477E-07	73.0900079
2.61080E-07	72.1175213
2.68906E-07	71.1584344
2.76971E-07	70.2113826
2.85274E-07	69.2773031
2.93830E-07	68.3548677
3.02638E-07	67.4449894
3.06497E-07	67.0629641
3.11716E-07	66.5467145
3.21060E-07	65.660862
3.30690E-07	64.785923
3.40603E-07	63.9227679
3.50819E-07	63.0701891
3.61335E-07	62.2290995
3.72173E-07	61.3984294
3.83329E-07	60.5790347
3.94827E-07	59.7695178
4.06662E-07	58.9704006
4.18860E-07	58.1805465
4.31416E-07	57.4009021
4.44356E-07	56.6304629
4.57676E-07	55.8700217
4.71403E-07	55.1185048
4.85534E-07	54.3766614
5.00097E-07	53.644217
5.15088E-07	52.9211508
5.30538E-07	52.2064413
5.46442E-07	51.5008029
5.62832E-07	50.8032398
5.79703E-07	50.1144505
5.97091E-07	49.4334641
6.14990E-07	48.7609632
6.33436E-07	48.0960012
6.52424E-07	47.4392459
6.71993E-07	46.7897737
6.86318E-07	46.3335273
6.92136E-07	46.1485211
7.12897E-07	45.5150304
7.34266E-07	44.8892462
7.56290E-07	44.2703095
7.78961E-07	43.6589106
8.02325E-07	43.0541926
8.26376E-07	42.4566053
8.51163E-07	41.8652857
8.72992E-07	41.3638455
8.95382E-07	40.8671999
9.18346E-07	40.3763358
9.41899E-07	39.8901591
9.66056E-07	39.408604
9.90833E-07	38.9316054
1.01196E-06	38.5377067
1.04051E-06	38.022816
1.06987E-06	37.5132189
1.10006E-06	37.0089763
1.11558E-06	36.7595915
1.13110E-06	36.5109055
1.16301E-06	36.01849
1.19583E-06	35.5306924
1.22957E-06	35.0477252
1.26427E-06	34.5696098
1.29994E-06	34.0962787
1.33662E-06	33.6276603
1.35548E-06	33.3956721
1.37433E-06	33.1645437
1.41311E-06	32.7069077
1.45298E-06	32.2538255
1.49398E-06	31.8052309
1.53614E-06	31.3610586
1.57948E-06	30.9212446
1.62405E-06	30.4857253
1.66987E-06	30.0566593
1.71699E-06	29.6318262
1.76544E-06	29.2111689
1.81525E-06	28.794728
1.86647E-06	28.3829939
1.91914E-06	27.975079
1.94622E-06	27.7727903
1.97329E-06	27.571852
2.02897E-06	27.1738802
2.08622E-06	26.7798187
2.14509E-06	26.3896171
2.20561E-06	26.0032223
2.26785E-06	25.6205798
2.29984E-06	25.4311076
2.33184E-06	25.2432686
2.39764E-06	24.871327
2.46529E-06	24.5030704
2.53485E-06	24.1384475
2.60638E-06	23.777407
