MeV	Ni-nat
1.29177E-03	16.5288
1.29185E-03	16.5318
1.29195E-03	16.5334
1.29200E-03	16.5336
1.29210E-03	16.5326
1.29221E-03	16.5294
1.29232E-03	16.5239
1.29243E-03	16.5166
1.29254E-03	16.507
1.29266E-03	16.4957
1.29277E-03	16.4831
1.29289E-03	16.4686
1.29307E-03	16.4454
1.29333E-03	16.4109
1.29349E-03	16.3916
1.29359E-03	16.3791
1.29370E-03	16.3673
1.29380E-03	16.3563
1.29388E-03	16.3489
1.29395E-03	16.342
1.29403E-03	16.3355
1.29410E-03	16.3295
1.29418E-03	16.3239
1.29425E-03	16.3188
1.29433E-03	16.314
1.29440E-03	16.3097
1.29447E-03	16.3061
1.29454E-03	16.3028
1.29461E-03	16.2998
1.29467E-03	16.297
1.29474E-03	16.2945
1.29481E-03	16.2922
1.29488E-03	16.2901
1.29494E-03	16.2882
1.29505E-03	16.2857
1.29515E-03	16.2835
1.29525E-03	16.2817
1.29535E-03	16.28
1.29545E-03	16.2786
1.29554E-03	16.2776
1.29564E-03	16.2765
1.29579E-03	16.2751
1.29594E-03	16.274
1.29609E-03	16.273
1.29630E-03	16.272
1.29650E-03	16.2711
1.29680E-03	16.27
1.29711E-03	16.2691
1.29748E-03	16.2682
1.29786E-03	16.2673
1.29842E-03	16.2663
1.29899E-03	16.2654
1.29974E-03	16.2643
1.30068E-03	16.263
1.30237E-03	16.261
1.30462E-03	16.2585
1.30763E-03	16.2553
1.31063E-03	16.2523
1.31844E-03	16.2444
1.33647E-03	16.2266
1.44136E-03	16.123
1.45146E-03	16.1131
1.63717E-03	15.9847
1.77403E-03	15.8902
1.79906E-03	15.873
1.93991E-03	15.8315
2.05172E-03	15.7986
2.09524E-03	15.7859
2.12393E-03	15.7846
2.13787E-03	15.7873
2.15877E-03	15.7913
2.17968E-03	15.7955
2.19361E-03	15.7984
2.20406E-03	15.8007
2.20961E-03	15.802
2.21516E-03	15.8035
2.21896E-03	15.8046
2.22276E-03	15.8058
2.22530E-03	15.8067
2.22784E-03	15.8078
2.22974E-03	15.8087
2.23164E-03	15.8098
2.23354E-03	15.811
2.23481E-03	15.8119
2.23624E-03	15.8131
2.23743E-03	15.8143
2.23861E-03	15.8157
2.23941E-03	15.8168
2.24020E-03	15.818
2.24099E-03	15.8193
2.24178E-03	15.8209
2.24250E-03	15.8225
2.24321E-03	15.8243
2.24392E-03	15.8265
2.24440E-03	15.8281
2.24487E-03	15.83
2.24535E-03	15.8321
2.24579E-03	15.8342
2.24618E-03	15.8364
2.24658E-03	15.8389
2.24697E-03	15.8416
2.24737E-03	15.8448
2.24767E-03	15.8474
2.24797E-03	15.8504
2.24826E-03	15.8537
2.24856E-03	15.8573
2.24887E-03	15.8616
2.24908E-03	15.865
2.24930E-03	15.8688
2.24952E-03	15.8729
2.24974E-03	15.8776
2.24996E-03	15.8827
2.25017E-03	15.8885
2.25034E-03	15.8934
2.25050E-03	15.8988
2.25068E-03	15.9054
2.25081E-03	15.9109
2.25095E-03	15.917
2.25108E-03	15.9238
2.25121E-03	15.9313
2.25135E-03	15.9398
2.25148E-03	15.9495
2.25162E-03	15.9604
2.25171E-03	15.9686
2.25179E-03	15.9777
2.25188E-03	15.9876
2.25196E-03	15.9974
2.25207E-03	16.012
2.25209E-03	16.0144
2.25214E-03	16.0243
2.25221E-03	16.0379
2.25228E-03	16.0525
2.25236E-03	16.0684
2.25243E-03	16.0855
2.25250E-03	16.104
2.25257E-03	16.1241
2.25264E-03	16.1458
2.25271E-03	16.1695
2.25278E-03	16.1951
2.25286E-03	16.223
2.25293E-03	16.2532
2.25300E-03	16.2861
2.25307E-03	16.3218
2.25315E-03	16.364
2.25322E-03	16.4101
2.25330E-03	16.4604
2.25338E-03	16.5152
2.25346E-03	16.5749
2.25353E-03	16.6399
2.25361E-03	16.7105
2.25369E-03	16.7869
2.25370E-03	16.8039
2.25376E-03	16.8739
2.25384E-03	16.9685
2.25389E-03	17.0354
2.25397E-03	17.1446
2.25405E-03	17.2616
2.25413E-03	17.3868
2.25421E-03	17.5202
2.25429E-03	17.6623
2.25437E-03	17.813
2.25445E-03	17.9724
2.25456E-03	18.2104
2.25465E-03	18.4279
2.25472E-03	18.5823
2.25478E-03	18.74
2.25491E-03	19.0755
2.25503E-03	19.4292
2.25522E-03	19.988
2.25573E-03	21.5283
2.25593E-03	22.1452
2.25611E-03	22.6271
2.25624E-03	22.9382
2.25636E-03	23.2023
2.25647E-03	23.42
2.25656E-03	23.5513
2.25659E-03	23.6078
2.25671E-03	23.7447
2.25682E-03	23.8254
2.25692E-03	23.875
2.25700E-03	23.8874
2.25701E-03	23.8864
2.25713E-03	23.8523
2.25726E-03	23.7578
2.25738E-03	23.6253
2.25750E-03	23.4525
2.25762E-03	23.2381
2.25774E-03	22.9879
2.25784E-03	22.7632
2.25789E-03	22.6364
2.25804E-03	22.2316
2.25822E-03	21.7084
2.25875E-03	20.0727
2.25894E-03	19.5216
2.25909E-03	19.1015
2.25921E-03	18.7834
2.25933E-03	18.4833
2.25942E-03	18.2707
2.25953E-03	18.0258
2.25964E-03	17.7978
2.25968E-03	17.707
2.25971E-03	17.6575
2.25978E-03	17.5288
2.25986E-03	17.4074
2.25993E-03	17.2932
2.26000E-03	17.1859
2.26007E-03	17.0898
2.26014E-03	16.9997
2.26021E-03	16.9152
2.26028E-03	16.8363
2.26035E-03	16.7626
2.26042E-03	16.6939
2.26049E-03	16.6299
2.26056E-03	16.5703
2.26063E-03	16.515
2.26070E-03	16.4637
2.26078E-03	16.4117
2.26084E-03	16.3739
2.26090E-03	16.3385
2.26096E-03	16.3053
2.26102E-03	16.2743
2.26107E-03	16.25
2.26108E-03	16.2457
2.26114E-03	16.2216
2.26120E-03	16.1993
2.26126E-03	16.1785
2.26135E-03	16.1501
2.26144E-03	16.1247
2.26153E-03	16.1019
2.26162E-03	16.0816
2.26171E-03	16.0633
2.26179E-03	16.0487
2.26187E-03	16.0353
2.26195E-03	16.0232
2.26203E-03	16.0121
2.26211E-03	16.002
2.26219E-03	15.9927
2.26231E-03	15.9802
2.26243E-03	15.9691
2.26255E-03	15.9593
2.26267E-03	15.9505
2.26279E-03	15.9426
2.26291E-03	15.9354
2.26305E-03	15.9279
2.26323E-03	15.9193
2.26341E-03	15.9118
2.26358E-03	15.905
2.26376E-03	15.8989
2.26394E-03	15.8934
2.26412E-03	15.8884
2.26430E-03	15.8838
2.26454E-03	15.8782
2.26478E-03	15.8731
2.26504E-03	15.8683
2.26530E-03	15.8637
2.26557E-03	15.8595
2.26584E-03	15.8556
2.26610E-03	15.852
2.26650E-03	15.8472
2.26690E-03	15.8428
2.26729E-03	15.839
2.26767E-03	15.8355
2.26805E-03	15.8323
2.26853E-03	15.8286
2.26855E-03	15.8285
2.26906E-03	15.8265
2.26956E-03	15.8249
2.27007E-03	15.8235
2.27058E-03	15.8223
2.27108E-03	15.8212
2.27177E-03	15.82
2.27247E-03	15.819
2.27316E-03	15.8182
2.27385E-03	15.8175
2.27489E-03	15.8167
2.27593E-03	15.8161
2.27715E-03	15.8157
2.27822E-03	15.8154
2.27982E-03	15.8152
2.28142E-03	15.8152
2.28301E-03	15.8154
2.28514E-03	15.8158
2.28714E-03	15.8163
2.28913E-03	15.8168
2.29179E-03	15.8177
2.29578E-03	15.8192
2.29977E-03	15.8209
2.30642E-03	15.8238
2.31280E-03	15.8268
2.31919E-03	15.8298
2.33195E-03	15.836
2.34472E-03	15.8424
2.37025E-03	15.8552
2.42131E-03	15.8811
2.47225E-03	15.907
2.52344E-03	15.9633
2.65961E-03	16.1132
2.79577E-03	16.357
2.81279E-03	16.3875
2.93194E-03	16.6903
2.94896E-03	16.7336
3.05109E-03	17.0779
3.06811E-03	17.1353
3.17024E-03	17.5799
3.18726E-03	17.654
3.27236E-03	18.1161
3.28938E-03	18.2086
3.37449E-03	18.7721
3.39151E-03	18.8849
3.47661E-03	19.5563
3.49363E-03	19.6906
3.57874E-03	20.4764
3.66384E-03	21.3918
3.68087E-03	21.6009
3.74895E-03	22.4373
3.77751E-03	22.8348
3.85108E-03	23.8588
3.90214E-03	24.6592
3.95320E-03	25.4596
4.14043E-03	28.6675
4.25107E-03	30.5627
4.25958E-03	30.6892
4.32766E-03	31.7007
4.33617E-03	31.8271
4.39575E-03	32.535
4.40426E-03	32.6361
4.45532E-03	33.0658
4.47234E-03	33.2089
4.48085E-03	33.2488
4.53192E-03	33.4877
4.54043E-03	33.4982
4.58298E-03	33.5504
4.60596E-03	33.5004
4.64255E-03	33.4206
4.66808E-03	33.2685
4.71064E-03	33.0148
4.73617E-03	32.7709
4.77872E-03	32.3644
4.82127E-03	31.8277
4.85531E-03	31.3983
4.94893E-03	29.9724
4.95744E-03	29.8427
5.16169E-03	26.3825
5.24680E-03	24.9408
5.33190E-03	23.6064
5.36594E-03	23.0727
5.39999E-03	22.5869
5.43403E-03	22.1012
5.45956E-03	21.737
5.47658E-03	21.4943
5.48722E-03	21.3574
5.49360E-03	21.2753
5.49959E-03	21.1985
5.50358E-03	21.1475
5.50657E-03	21.1094
5.50856E-03	21.0841
5.51062E-03	21.0581
5.51222E-03	21.0381
5.51328E-03	21.0249
5.51435E-03	21.0118
5.51541E-03	20.9988
5.51621E-03	20.9892
5.51701E-03	20.9798
5.51780E-03	20.9706
5.51830E-03	20.965
5.51876E-03	20.9599
5.51922E-03	20.955
5.51969E-03	20.9503
5.52003E-03	20.9469
5.52038E-03	20.9437
5.52073E-03	20.9408
5.52096E-03	20.939
5.52119E-03	20.9375
5.52142E-03	20.9361
5.52165E-03	20.9351
5.52184E-03	20.9345
5.52198E-03	20.9343
5.52212E-03	20.9343
5.52227E-03	20.9345
5.52241E-03	20.9349
5.52256E-03	20.9357
5.52270E-03	20.9369
5.52284E-03	20.9385
5.52299E-03	20.9405
5.52310E-03	20.9424
5.52320E-03	20.9447
5.52331E-03	20.9473
5.52342E-03	20.9503
5.52353E-03	20.9538
5.52364E-03	20.9577
5.52374E-03	20.9622
5.52385E-03	20.9673
5.52396E-03	20.973
5.52407E-03	20.9794
