MeV	"TL-205(N,TOT)"
4.61598E-05	9.25327
4.62134E-05	9.25107
4.62670E-05	9.24909
4.63206E-05	9.24728
4.63743E-05	9.24564
4.64279E-05	9.24414
4.64815E-05	9.24277
4.65352E-05	9.24151
4.66039E-05	9.24004
4.66727E-05	9.23872
4.67414E-05	9.23752
4.68102E-05	9.23643
4.68789E-05	9.23543
4.69477E-05	9.23453
4.70165E-05	9.23369
4.70852E-05	9.23293
4.71683E-05	9.23209
4.72513E-05	9.23132
4.73343E-05	9.23062
4.74174E-05	9.22998
4.75419E-05	9.22912
4.76665E-05	9.22836
4.77916E-05	9.22768
4.79179E-05	9.22707
4.80442E-05	9.22652
4.81705E-05	9.22602
4.82547E-05	9.22572
4.84232E-05	9.22517
4.85940E-05	9.22468
4.87647E-05	9.22424
4.89355E-05	9.22385
4.91063E-05	9.2235
4.92795E-05	9.22318
4.94527E-05	9.22289
4.97125E-05	9.2225
4.99748E-05	9.22216
5.02382E-05	9.22185
5.05017E-05	9.22158
5.07689E-05	9.22134
5.10361E-05	9.22111
5.13948E-05	9.22084
5.17561E-05	9.2206
5.21199E-05	9.22039
5.24863E-05	9.22019
5.30410E-05	9.21992
5.36009E-05	9.21968
5.41661E-05	9.21946
5.49303E-05	9.21919
5.57052E-05	9.21895
5.64911E-05	9.21872
5.72881E-05	9.2185
5.85062E-05	9.21819
5.97472E-05	9.2179
6.14449E-05	9.21753
6.31909E-05	9.21716
6.49865E-05	9.2168
6.73046E-05	9.21635
7.01936E-05	9.21581
7.37194E-05	9.21517
7.79685E-05	9.21441
8.30442E-05	9.21352
8.84459E-05	9.21259
9.48635E-05	9.21149
1.02385E-04	9.21022
1.12143E-04	9.20859
1.24571E-04	9.20653
1.35495E-04	9.20474
1.46344E-04	9.20297
1.58070E-04	9.20106
1.71931E-04	9.19881
1.89647E-04	9.19596
2.07506E-04	9.19309
2.28200E-04	9.18977
2.48212E-04	9.18657
2.70256E-04	9.18306
2.93992E-04	9.17928
3.19772E-04	9.17518
3.52053E-04	9.17006
3.91047E-04	9.16389
4.40675E-04	9.15604
4.83753E-04	9.14923
5.29886E-04	9.14195
5.73929E-04	9.135
6.15574E-04	9.12844
6.77663E-04	9.11866
7.42339E-04	9.10848
8.07016E-04	9.09831
8.83990E-04	9.0862
8.91453E-04	9.08503
9.62975E-04	9.07379
1.01517E-03	9.0656
1.06572E-03	9.05766
1.13510E-03	9.04677
1.14305E-03	9.04498
1.21377E-03	9.02903
1.28644E-03	9.01265
1.33929E-03	9.00075
1.37563E-03	8.99257
1.39575E-03	8.98805
1.40652E-03	8.98563
1.41395E-03	8.98397
1.41791E-03	8.98309
1.42188E-03	8.98222
1.42452E-03	8.98164
1.42683E-03	8.98115
1.42857E-03	8.98078
1.42972E-03	8.98054
1.43088E-03	8.98031
1.43203E-03	8.98009
1.43290E-03	8.97992
1.43377E-03	8.97977
1.43459E-03	8.97963
1.43521E-03	8.97954
1.43583E-03	8.97945
1.43625E-03	8.97941
1.43666E-03	8.97936
1.43707E-03	8.97933
1.43754E-03	8.9793
1.43785E-03	8.9793
1.43816E-03	8.9793
1.43847E-03	8.97931
1.43878E-03	8.97933
1.43901E-03	8.97936
1.43924E-03	8.9794
1.43947E-03	8.97945
1.43965E-03	8.9795
1.43986E-03	8.97957
1.44007E-03	8.97965
1.44027E-03	8.97975
1.44043E-03	8.97985
1.44058E-03	8.97995
1.44074E-03	8.98008
1.44089E-03	8.98022
1.44105E-03	8.98039
1.44120E-03	8.98059
1.44130E-03	8.98074
1.44141E-03	8.98091
1.44151E-03	8.98109
1.44161E-03	8.9813
1.44172E-03	8.98154
1.44182E-03	8.98181
1.44192E-03	8.98211
1.44200E-03	8.98237
1.44207E-03	8.98262
