E(MeV)	pendfb7/La139:1	
7.38725E-07	13.7792137	
7.39569E-07	13.7650838	
7.40413E-07	13.7490547	
7.41256E-07	13.7311849	
7.42100E-07	13.7115392	
7.43225E-07	13.6827046	
7.44350E-07	13.6510192	
7.45533E-07	13.6148361	
7.46716E-07	13.5759563	
7.47899E-07	13.5346319	
7.49082E-07	13.491123	
7.50266E-07	13.445695	
7.51455E-07	13.3983452	
7.53046E-07	13.3328961	
7.54637E-07	13.2655829	
7.60850E-07	12.9959859	
7.62828E-07	12.911284	
7.64234E-07	12.8522433	
7.65641E-07	12.7944344	
7.67047E-07	12.7380566	
7.68564E-07	12.6790478	
7.69784E-07	12.6330345	
7.71004E-07	12.588403	
7.72224E-07	12.5452063	
7.73445E-07	12.5034831	
7.74668E-07	12.4631467	
7.75899E-07	12.4241153	
7.77130E-07	12.3866218	
7.78360E-07	12.3506576	
7.79591E-07	12.3162047	
7.80822E-07	12.2832376	
7.82063E-07	12.2514632	
7.83304E-07	12.2211286	
7.84545E-07	12.1921906	
7.85786E-07	12.1646023	
7.87027E-07	12.1383142	
7.88275E-07	12.1131368	
7.89527E-07	12.089103	
7.90778E-07	12.0662307	
7.92030E-07	12.0444655	
7.93281E-07	12.023753	
7.94537E-07	12.0039857	
7.95799E-07	11.9850678	
7.97482E-07	11.9612533	
7.99165E-07	11.9389418	
8.00848E-07	11.9180214	
8.02545E-07	11.8982257	
8.04242E-07	11.8796368	
8.05939E-07	11.8621608	
8.07636E-07	11.8457104	
8.09348E-07	11.8300777	
8.11059E-07	11.8153303	
8.12771E-07	11.8013985	
8.15346E-07	11.7818389	
8.17935E-07	11.7636888	
8.20524E-07	11.74689	
8.23128E-07	11.7312066	
8.25739E-07	11.716564	
8.28350E-07	11.7028904	
8.30983E-07	11.6899781	
8.33616E-07	11.6778553	
8.37142E-07	11.6627206	
8.40683E-07	11.6486357	
8.44239E-07	11.6354718	
8.47809E-07	11.6231197	
8.51395E-07	11.6114853	
8.56797E-07	11.5952225	
8.62244E-07	11.5801348	
8.67722E-07	11.5660829	
8.73231E-07	11.5529147	
8.78771E-07	11.5405058	
8.86221E-07	11.524937	
8.93733E-07	11.5103269	
9.01309E-07	11.4965174	
9.08950E-07	11.4833817	
9.16655E-07	11.4708172	
9.28343E-07	11.4528525	
9.40164E-07	11.4357966	
9.52153E-07	11.419436	
9.64277E-07	11.4036886	
9.80695E-07	11.3834244	
9.97392E-07	11.3638501	
1.01437E-06	11.3448316	
1.03584E-06	11.3218655	
1.05771E-06	11.2995019	
1.07999E-06	11.2776081	
1.10269E-06	11.2561002	
1.12602E-06	11.2347277	
1.14979E-06	11.2136424	
1.18224E-06	11.1858642	
1.21560E-06	11.158365	
1.24990E-06	11.1310874	
1.28516E-06	11.1039858	
1.32143E-06	11.077023	
1.35871E-06	11.050168	
1.36070E-06	11.0487776	
1.39705E-06	11.0238012	
1.43647E-06	10.9975382	
1.47700E-06	10.9713502	
1.51868E-06	10.9451607	
1.56153E-06	10.9189778	
1.60559E-06	10.8927939	
1.65090E-06	10.866594	
1.72109E-06	10.8273243	
1.79462E-06	10.7877575	
1.87093E-06	10.7482149	
1.95086E-06	10.7082849	
2.03382E-06	10.6682939	
2.12071E-06	10.6278266	
2.21088E-06	10.5872152	
2.30534E-06	10.5461086	
2.40336E-06	10.5046939	
2.50604E-06	10.4626129	
2.50971E-06	10.4611517	
2.61260E-06	10.4216337	
2.72422E-06	10.3800202	
2.84006E-06	10.3380609	
2.96139E-06	10.2953151	
3.13087E-06	10.2374711	
3.26400E-06	10.1933447	
3.40344E-06	10.1482542	
3.54816E-06	10.1025943	
3.75122E-06	10.0401914	
3.91148E-06	9.99214167	
4.08378E-06	9.9417747	
4.13533E-06	9.92753817	
4.37200E-06	9.86393417	
4.62220E-06	9.79850145	
4.88673E-06	9.73103469	
5.16639E-06	9.66141842	
5.53805E-06	9.57124041	
5.93759E-06	9.47680618	
6.11407E-06	9.43599278	
6.27739E-06	9.40119524	
6.63664E-06	9.32617888	
7.01645E-06	9.24834285	
7.52119E-06	9.14688269	
8.06381E-06	9.04012273	
8.64390E-06	8.92812975	
8.77869E-06	8.90260801	
9.39644E-06	8.7976888	
1.02145E-05	8.66168354	
1.09514E-05	8.54136637	
1.15782E-05	8.44036372	
1.20882E-05	8.35910615	
1.22408E-05	8.33755662	
1.29413E-05	8.23981166	
1.36819E-05	8.13761047	
1.46662E-05	8.00329764	
1.55055E-05	7.89007286	
1.55282E-05	7.88703428	
1.63929E-05	7.78510661	
1.73310E-05	7.67551914	
1.85813E-05	7.53093531	
1.93998E-05	7.43716555	
1.96447E-05	7.41257583	
2.13550E-05	7.24266498	
2.25772E-05	7.12237767	
2.35716E-05	7.02520826	
2.38692E-05	6.99965075	
2.52352E-05	6.88322477	
2.66794E-05	6.76101277	
2.78139E-05	6.66552522	
2.78546E-05	6.66211443	
2.94056E-05	6.54774742	
3.06619E-05	6.45562146	
3.19657E-05	6.36046097	
3.24642E-05	6.32423941	
3.33314E-05	6.26870508	
3.52389E-05	6.14720683	
3.67373E-05	6.05231784	
3.77165E-05	5.99057744	
3.82486E-05	5.96098686	
3.98750E-05	5.8709739	
4.15785E-05	5.77715131	
4.33465E-05	5.68032077	
4.39580E-05	5.64703567	
4.58272E-05	5.55509503	
4.81174E-05	5.44341243	
5.03436E-05	5.33589959	
5.19220E-05	5.26045044	
5.28690E-05	5.21555618	
5.38161E-05	5.17101208	
5.47631E-05	5.12685432	
5.57101E-05	5.0831913	
5.63415E-05	5.05439437	
5.69729E-05	5.02589593	
5.76042E-05	4.9977442	
5.85513E-05	4.95628288	
5.91826E-05	4.92410169	
5.98140E-05	4.89252819	
6.02875E-05	4.86933092	
6.07610E-05	4.84664317	
6.12345E-05	4.8245347	
6.17080E-05	4.80310786	
6.21815E-05	4.77720614	
6.24972E-05	4.76046612	
6.28129E-05	4.74421445	
6.31286E-05	4.72851874	
6.34443E-05	4.71345891	
6.36021E-05	4.70629441	
6.37599E-05	4.69680707	
6.40756E-05	4.67867671	
6.43716E-05	4.66255892	
6.46478E-05	4.64836421	
6.49240E-05	4.63519732	
6.52002E-05	4.62320317	
6.52760E-05	4.62023596	
6.54136E-05	4.61223216	
6.56395E-05	4.60008695	
6.58653E-05	4.58909993	
6.60912E-05	4.57944469	
6.63171E-05	4.57132744	
6.64339E-05	4.56805131	
6.65429E-05	4.56238765	
6.67555E-05	4.55322914	
